iteration	mean	std_dev	min	max	median
10	-4.493	2.559	-11.601	-2.233	-3.623
20	-3.829	1.789	-6.648	-1.065	-3.712
30	-4.137	1.457	-5.759	-0.976	-4.332
40	-2.467	0.906	-4.658	-1.288	-2.302
50	-4.675	2.116	-8.187	-1.851	-4.230
60	-4.511	1.925	-8.831	-1.627	-4.371
70	-4.168	1.281	-6.334	-2.224	-4.276
80	-4.569	1.753	-9.149	-2.739	-4.309
90	-4.429	1.825	-7.308	-1.755	-4.417
100	-3.749	0.924	-5.237	-2.502	-3.553
110	-4.584	1.549	-7.861	-2.414	-4.191
120	-3.457	1.174	-6.130	-1.646	-3.534
130	-4.589	2.196	-10.069	-2.164	-4.452
140	-4.562	1.366	-7.523	-2.624	-4.563
150	-5.383	2.060	-9.029	-2.835	-4.984
