iteration	mean	std_dev	min	max	median
10	46.222	2.429	42.448	51.400	46.560
20	47.594	3.717	44.466	56.645	45.944
30	47.732	2.650	44.127	52.375	47.587
40	47.612	4.583	43.964	60.186	46.563
50	45.529	2.606	41.745	49.718	44.821
60	45.343	1.960	42.633	49.381	44.660
70	47.152	3.823	42.666	57.103	46.886
80	47.015	4.417	42.123	57.833	45.215
90	48.924	4.736	44.749	59.699	46.798
100	47.311	6.249	42.273	64.705	44.456
110	48.391	4.340	43.620	56.435	47.484
120	47.954	3.528	43.887	57.385	47.384
130	48.009	1.665	44.028	50.603	47.912
140	45.804	2.146	43.222	50.119	44.792
150	46.744	2.186	44.109	50.273	46.969
160	46.376	2.403	42.415	49.653	46.646
170	46.650	1.320	44.478	48.925	46.912
180	45.190	1.286	42.562	47.184	45.309
190	45.570	2.150	42.515	49.657	44.759
200	46.586	1.930	44.525	49.828	45.858
210	81.836	36.799	56.530	185.957	67.340
220	95.818	38.257	60.397	195.270	88.307
230	75.108	32.972	55.110	172.321	64.330
240	69.501	18.434	57.478	119.767	61.297
250	72.192	18.875	53.805	104.774	63.518
260	58.666	3.577	53.081	64.286	58.923
270	54.028	2.109	51.482	58.315	53.164
280	57.660	2.279	53.658	61.014	58.126
290	53.156	3.071	48.141	57.993	52.829
300	68.399	20.542	49.160	118.821	60.964
310	70.633	19.843	58.000	126.954	62.195
320	77.187	19.966	57.066	115.415	67.825
330	71.530	14.524	61.899	110.624	64.893
340	69.846	8.133	63.092	88.672	65.863
350	65.552	18.791	52.956	119.323	58.103
360	81.918	19.297	65.589	125.135	71.053
370	69.515	6.389	61.476	85.555	69.048
380	96.403	19.971	68.478	122.807	98.330
390	148.280	70.316	65.099	281.484	131.938
400	74.041	15.107	60.402	117.674	69.552
410	108.504	38.296	66.309	183.668	93.835
420	76.484	9.806	64.968	96.366	74.475
430	67.803	5.499	61.462	80.936	65.242
440	62.245	3.455	54.829	66.195	62.776
450	85.341	13.415	64.127	108.714	81.672
460	75.739	8.963	62.527	92.345	71.254
470	74.257	8.580	64.860	95.655	71.292
480	83.667	13.374	68.974	103.196	81.655
490	109.792	38.744	65.607	190.962	120.976
500	82.063	22.108	66.086	130.293	70.353
510	90.246	52.592	63.306	244.575	71.192
520	105.991	50.691	67.367	234.427	83.256
530	70.385	7.326	57.896	88.042	69.681
540	88.004	29.035	63.920	145.081	71.762
550	81.752	25.259	65.724	151.552	72.930
560	82.476	19.406	58.255	126.278	75.701
570	63.999	3.991	57.471	71.062	65.103
580	68.751	4.811	61.629	79.195	69.004
590	95.164	33.479	61.553	153.800	81.708
600	87.868	43.915	63.779	204.651	69.587
610	131.455	55.525	65.389	212.785	126.645
620	66.223	3.494	61.622	71.988	65.491
630	70.749	10.885	62.262	102.197	67.171
640	69.339	5.091	62.322	78.854	69.775
650	81.245	15.380	63.610	113.563	77.411
660	105.603	23.662	69.840	139.827	113.348
670	69.576	6.262	63.275	81.023	67.664
680	78.304	12.150	63.924	102.440	74.533
690	70.661	2.518	65.740	74.102	70.694
700	70.451	2.138	66.330	73.731	70.577
710	69.214	3.194	65.085	74.538	68.490
720	74.745	18.141	59.167	112.611	69.158
730	67.155	3.150	60.015	71.039	67.343
740	66.715	3.627	60.187	70.841	67.249
750	86.011	18.549	68.632	119.023	75.937
760	117.497	32.840	69.551	167.883	126.017
770	92.011	15.556	67.892	122.404	93.186
780	84.520	25.117	59.687	139.151	72.281
790	93.361	22.165	67.108	128.506	86.452
800	65.032	3.266	59.319	69.224	64.894
810	70.831	4.252	64.772	80.261	70.199
820	104.211	25.424	72.822	144.332	106.629
830	78.453	7.700	67.093	91.175	75.560
840	81.849	10.018	67.029	100.086	79.376
850	90.975	21.946	71.539	150.481	87.129
860	93.007	16.729	74.347	127.526	86.674
870	91.771	19.466	71.869	124.758	84.800
880	98.449	36.837	73.301	201.307	81.441
890	107.758	31.046	72.124	163.819	107.624
900	102.913	30.412	73.250	167.470	94.284
910	81.541	22.000	61.886	133.796	72.084
920	69.544	3.861	62.415	76.367	69.657
930	87.483	9.685	74.437	104.980	88.011
940	70.736	2.666	66.370	76.611	70.569
950	63.627	3.416	58.246	69.545	62.989
960	68.568	2.548	64.008	71.814	69.147
970	68.890	1.523	65.424	70.504	69.346
980	82.247	14.684	66.970	103.556	74.668
990	70.718	2.159	66.448	74.709	70.769
1000	71.957	12.536	64.415	109.305	68.383
1010	72.031	4.838	64.554	83.540	70.766
1020	72.838	2.124	68.585	76.587	72.546
1030	80.053	11.177	66.656	106.508	75.044
1040	106.526	17.452	75.238	136.566	106.412
1050	85.539	16.058	69.858	127.484	79.917
1060	90.676	12.673	75.904	114.287	91.573
1070	76.935	2.774	71.994	81.963	76.456
1080	78.066	3.464	71.086	83.891	77.723
1090	75.704	2.231	70.783	79.137	76.407
1100	84.230	8.906	76.849	107.593	81.323
1110	73.566	3.088	67.948	78.232	73.653
1120	76.359	3.496	71.377	83.250	77.284
1130	82.126	4.779	78.332	94.000	80.181
1140	72.037	3.244	66.924	77.149	71.757
1150	61.673	2.643	58.612	65.059	60.098
1160	86.881	10.480	72.355	109.352	88.334
1170	97.796	25.015	74.381	159.008	89.344
1180	96.234	24.963	78.124	148.345	78.606
1190	71.309	2.785	66.565	75.190	71.214
1200	69.809	2.011	67.658	74.383	69.189
1210	71.574	1.824	69.728	76.444	71.225
1220	75.979	2.382	72.919	78.208	77.710
1230	77.102	1.911	73.271	78.452	78.112
1240	76.338	1.751	73.288	78.466	76.301
1250	76.418	2.532	71.548	79.927	77.132
1260	79.674	2.900	75.933	86.152	78.423
1270	82.178	3.620	75.561	86.495	83.820
1280	82.847	8.751	78.023	102.763	78.396
1290	127.770	24.878	100.214	184.073	120.172
1300	141.787	29.239	83.328	182.770	153.119
1310	146.842	47.103	75.820	228.538	133.506
1320	144.876	43.742	83.354	211.000	142.456
1330	93.909	12.944	77.653	118.516	89.021
1340	96.638	26.989	70.317	143.241	85.230
1350	71.710	1.174	70.336	74.955	71.606
1360	74.846	3.222	69.947	82.257	74.721
1370	66.298	2.404	63.965	69.553	64.715
1380	104.712	5.888	94.581	113.663	105.326
1390	119.736	23.345	89.555	165.711	116.036
1400	74.186	2.283	69.553	75.662	75.286
1410	71.122	2.202	66.213	75.629	71.362
1420	75.718	4.149	68.452	81.342	75.432
1430	77.530	4.783	70.091	85.786	76.811
1440	123.223	21.782	98.058	182.532	119.283
1450	104.741	7.097	96.787	117.314	103.831
1460	125.648	11.157	98.435	142.639	127.779
1470	74.816	2.775	66.948	76.837	75.883
1480	64.149	1.152	62.225	66.055	63.809
1490	61.958	0.293	61.535	62.681	61.925
1500	61.876	2.540	60.159	68.965	60.777
1510	61.835	0.476	60.971	62.884	61.826
1520	62.708	2.041	58.408	63.938	63.682
1530	70.875	2.146	66.762	72.991	71.767
1540	86.096	3.662	81.875	95.018	86.449
1550	72.610	2.809	67.069	76.058	73.439
1560	75.159	4.321	67.396	82.910	75.223
1570	75.816	2.627	71.422	78.308	77.625
